specObjID,ra,dec,z,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,oiii_5007_flux,oiii_5007_flux_err,nii_6584_flux,nii_6584_flux_err,oi_6300_flux,oi_6300_flux_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err
299499298171676672,147.32951,0.028902695,0.04808582,510.6647,6.506711,91.71097,3.794378,55.35548,3.821943,367.8763,5.501723,19.59912,3.269828,80.1356,3.816991,70.84364,3.800198
299500672561211392,146.57134,-0.95721148,0.06518305,351.3045,4.348549,66.98206,2.776938,18.08399,2.641367,147.909,3.140503,7.274137,2.007208,48.68991,2.420714,36.9456,2.406567
299500947439118336,146.56561,-1.0847419,0.09755617,169.8101,5.768546,24.93788,4.248411,135.8997,5.443582,248.9264,5.930826,37.83519,4.222079,98.01175,5.460168,76.62032,5.027933
299501497194932224,146.30548,-1.1305512,0.1548131,332.5545,4.1016,73.13292,2.769148,26.21341,2.714053,94.02802,4.369003,25.81226,9.038434,51.57239,2.817043,30.872,2.682588
299503421340280832,146.51283,-0.84576492,0.06490172,1151.211,9.593594,257.9409,4.88587,95.84792,4.246964,563.4586,6.08935,32.05777,3.17575,194.4022,4.352325,153.6808,4.440993
299504245974001664,146.44831,-0.71339967,0.1146793,919.3564,8.633987,194.093,3.75711,203.211,8.831159,384.8589,4.72942,30.05624,2.113387,140.5348,3.134246,110.5897,2.835191
299504520851908608,146.57273,-1.0608357,0.0606144,144.6518,3.235646,30.73027,2.534881,10.5722,2.592374,56.05157,2.743611,6.340064,1.944052,31.04092,2.438229,17.30779,2.212302
299506170119350272,146.85757,-0.21877608,0.1246121,18.95057,3.250624,6.672003,3.142458,5.863985,3.15959,20.55326,3.333915,4.793578,2.463917,14.02553,2.871243,5.376702,3.047462
299506444997257216,146.90125,-0.4131573,0.05654794,131.2589,4.462103,34.24051,3.790666,46.40644,4.171093,64.89413,3.72322,13.7688,3.049671,42.04194,3.565422,28.5483,3.377681
299507269630978048,146.86816,-0.48679252,0.08326827,59.31511,2.310444,10.3177,2.519034,4.653191,2.591648,26.77819,2.048787,5.708462,1.880604,20.56644,8.612958,10.76329,2.206855
299507544508884992,146.86432,-0.46407191,0.06510994,435.4091,5.183943,104.5165,3.677787,16.89602,3.199192,149.0907,3.430533,9.482595,2.207493,57.43588,2.674309,40.39654,2.613767
299508369142605824,146.89158,-0.51266153,0.08389291,143.6981,3.319018,23.3244,2.916686,8.024322,2.766534,69.40302,2.699603,5.518132,2.634157,23.94146,3.666069,19.00349,2.74866
299508644020512768,146.8833,-0.49469887,0.08376556,417.9288,6.584504,79.06378,4.534498,33.67719,4.405496,225.8526,5.593966,8.980413,4.083321,49.4229,5.78953,40.35917,4.623168
299508918898419712,146.85967,-0.098938627,0.1253916,234.3734,3.918873,44.53191,2.885862,49.30866,3.187995,158.4377,3.405399,9.656131,2.091393,39.61915,2.602997,31.62446,2.660688
299509193776326656,146.85676,-0.27404021,0.02196459,168.5709,2.579092,53.58604,2.570964,111.6831,3.207255,16.38062,1.387947,9.332932,1.560234,34.46608,2.449173,21.96995,1.682344
299509468654233600,146.76078,0.015978141,0.1249016,123.2337,3.99955,18.48777,3.302411,11.95827,3.623257,52.6061,3.839164,2.976959,2.68744,25.14508,3.224729,12.79974,3.449865
299509743532140544,146.90232,-0.31366176,0.1314198,23.80653,2.800691,9.502232,2.911668,6.839128,3.209028,13.68547,2.485061,6.622087,2.204814,10.69182,6.229002,0.4443957,3.261551
299510018410047488,146.77711,-0.24198689,0.1308193,46.77467,2.584404,16.48119,2.629719,4.215663,2.483281,20.88102,2.251616,1.534593,1.627896,5.273101,3.197404,6.719137,3.636983
299511117921675264,146.81199,-0.19004646,0.06215091,16.28403,3.450003,7.331618,3.210686,25.04931,4.788568,15.0534,3.907097,5.201284,3.517686,3.464392,3.576422,5.712928,3.705626
299511667677489152,146.11835,-0.8681462,0.127676,204.2957,3.723447,39.90464,2.667855,19.36009,2.735669,107.4403,2.900706,6.817031,1.896828,37.21172,2.67773,24.43758,2.496908
299513042067023872,146.12796,-1.1897714,0.1407275,38.37203,2.765605,10.33879,2.547248,4.37667,2.780379,18.23345,2.399972,2.037837,1.983812,11.93035,2.70666,5.925146,2.299783
299513316944930816,146.23485,-1.1527694,0.06741422,625.9243,5.773787,117.5592,3.160311,51.88348,2.842988,187.5996,2.99105,22.94478,1.862804,125.9418,2.783081,82.95983,2.508759
299514966212372480,146.24259,-0.76261796,0.3002294,476.0201,5.630468,146.4158,2.392896,550.4642,4.716819,46.50169,2.419881,8.604175,2.113068,38.30648,2.837157,29.20604,2.944984
299516615479814144,146.19262,-0.68840099,0.004080323,198.1692,2.880439,57.40349,2.340472,155.7897,3.272658,9.423077,1.166252,1.986938,1.277897,23.95414,1.283817,16.39568,1.284331
299516890357721088,146.00779,-0.64227163,0.0047763,18835.12,135.785,5755.302,33.51798,31517.64,175.4908,219.5181,2.733784,140.5447,2.566742,491.8314,4.85754,386.6843,4.024645
299517989869348864,146.74174,-0.52469154,0.1315038,174.6208,3.75349,39.86888,2.717322,68.8668,2.989341,129.9966,3.173395,5.741499,1.685176,20.41914,6.116342,26.54523,3.359266
299518264747255808,146.61904,-0.43432227,0.006036635,288.7176,3.735309,97.55373,3.157199,135.8967,3.538884,43.89219,1.841361,12.09055,1.748305,72.70258,2.197089,51.44818,1.988298
299518539625162752,146.62966,-0.46568888,0.0893447,143.5105,3.736548,28.48076,3.250213,33.11293,3.538887,116.9966,3.449952,16.28823,3.197057,62.81574,4.124665,50.12525,3.506605
299518814503069696,146.49052,-0.36931044,0.1231987,555.7532,6.709946,111.3009,4.588033,34.62197,3.919865,256.0729,4.786215,24.92998,3.036559,101.1896,3.750935,75.75684,3.685848
299519089380976640,146.7517,-0.40839151,0.03580831,1311.788,11.60913,333.1961,5.413537,210.5195,4.986704,359.1024,4.67798,33.85272,2.907655,256.0965,4.548899,182.8083,4.073963
299519914014697472,146.60365,-0.19149282,0.1215208,290.141,4.492127,65.58004,3.106377,11.1799,3.015412,96.71239,3.099518,2.340104,2.058957,32.11332,2.632352,23.3943,2.357114
299520188892604416,146.63068,0.070984066,0.1258571,33.48396,3.406294,4.401685,3.127878,21.31228,3.622344,32.3471,3.099363,7.725523,2.510208,17.28963,2.95028,16.09972,2.94208
299520463770511360,146.60806,0.047679187,0.09212417,120.0885,2.548384,32.91386,2.762033,9.526958,2.245303,46.92726,1.953885,6.191783,1.602786,24.62576,2.105905,16.54677,1.87334
299520738648418304,146.60631,-0.21322083,0.1206172,140.5096,3.395645,28.99303,2.563802,2.684711,2.538578,51.51323,2.550225,1.259334,1.807498,22.31309,2.773209,14.73748,2.011789
299521288404232192,146.74794,-0.2682818,0.1302224,9.297299,2.113253,3.870022,2.400911,0.8977656,2.263968,8.942874,2.130213,1.132913,1.574007,2.835399,1.94979,6.14647,4.199004
299522387915859968,146.66136,-0.1033698,0.06934141,59.3772,2.371513,16.61306,2.946089,8.777528,2.545394,27.51143,2.122362,4.779781,1.680469,17.8495,2.055846,10.44801,1.841887
299524586939115520,145.89059,-1.0976161,0.06248942,350.3976,4.863601,83.53896,3.405174,37.32424,3.323633,129.4616,3.283788,13.74299,2.276158,71.99741,2.843692,50.20187,2.701529
299525411572836352,145.93788,-0.73396501,0.142703,94.78371,3.008393,18.60152,2.553475,7.136548,2.463057,40.6786,2.998457,2.517794,1.855602,14.58573,2.277444,7.147713,2.260569
299525686450743296,145.89232,-1.0226363,0.153699,33.51051,3.762324,11.4553,3.146167,24.88437,4.39025,59.58081,6.234332,9.212816,4.011944,5.755934,5.781376,10.03069,4.443942
299527060840278016,145.82165,-0.84656746,0.06770252,38.33061,1.850713,10.2273,1.745134,4.385449,1.819228,17.84882,1.701484,1.124147,1.342316,6.745728,1.664538,7.153873,1.563452
299527335718184960,145.87447,-0.60874859,0.07158983,97.32662,2.600087,21.08322,2.107408,10.24901,2.229021,34.42918,2.208707,4.324984,1.69798,14.43775,1.906508,8.237232,1.888818
299528160351905792,146.37378,-0.36838682,0.05290708,737.1107,8.049224,149.5079,4.917249,95.27357,4.747185,407.2752,6.169335,92.58793,4.124249,267.2904,5.406539,167.3828,4.901573
299528435229812736,146.38135,-0.38646442,0.05260282,97.16862,3.022838,12.95431,2.412057,8.99727,2.451219,52.93204,2.473629,5.618179,1.932763,26.0682,2.248819,20.51668,2.152732
299529534741440512,146.35204,-0.33269118,0.05217639,1334.967,10.99427,266.446,5.0481,86.13953,4.271465,489.7381,6.155217,44.57067,3.498755,210.0699,4.846725,146.9877,4.428813
299529809619347456,146.29988,-0.12001413,0.03070351,307.6506,5.760308,58.5244,4.004864,594.889,7.784786,269.4241,5.051071,28.95586,3.653304,83.42992,4.369847,67.1727,4.191531
299530084497254400,146.43376,-0.10567172,0.06240187,20.28218,2.44653,4.08115,2.417745,4.097928,2.384954,11.6204,2.042282,1.602758,1.633114,4.654353,1.712196,3.087184,1.75139
299530909130975232,146.36539,-0.34351527,0.05248393,1031.952,8.5541,218.4372,4.912825,145.1758,4.648521,284.6306,4.713027,36.25033,3.19412,133.5714,3.967165,107.7979,3.801382
299531733764696064,146.39902,-0.35038267,0.05354775,376.7933,4.230413,83.58832,2.909524,70.26048,2.801459,107.1019,2.328439,18.67075,1.703615,82.11623,2.268112,58.40382,2.046828
299532008642603008,146.32316,-0.029989881,0.02170876,2255.693,15.7854,663.3409,7.208734,2956.007,23.91256,85.94353,1.881054,34.17805,1.789072,164.4952,3.154143,110.1759,2.504458
299532283520509952,146.36979,0.082264176,0.067523,121.1951,2.825869,28.34829,2.604559,8.509685,2.653728,43.30858,2.166098,2.016878,1.675259,29.23752,2.093043,20.14495,2.011042
299532558398416896,146.30086,0.035479627,0.021758,2292.528,16.9811,638.0527,8.117599,780.1143,9.821332,465.8451,5.742815,59.05846,3.541931,430.3535,6.495438,299.6579,5.632025
299532833276323840,146.32958,-0.30622363,0.03645184,145.3708,2.529001,36.18832,2.318291,114.1467,3.21343,73.52751,1.929005,9.397298,1.651939,43.39631,1.79288,26.49167,1.840659
299533108154230784,146.39968,0.032246051,0.1284871,70.93686,4.742505,18.87344,4.410213,9.889499,4.383477,44.58805,3.970271,3.784168,2.799173,14.61622,3.323458,14.40182,4.703066
299533383032137728,146.34706,0.075416437,0.06228172,38.36275,3.041876,9.30844,2.838216,3.114206,3.065206,18.60465,2.709985,1.449532,2.097789,6.80885,2.246952,2.473252,2.233516
299535307177486336,146.2278,0.043565824,0.09139155,30.46319,3.567978,10.96852,3.498468,19.54163,4.412563,16.40988,3.404397,4.450156,3.336144,17.66351,4.028011,9.647084,3.87228
299535582055393280,146.22225,-0.3758881,0.06740563,311.4394,4.491274,64.8153,2.882532,15.68244,2.852173,91.55006,3.216102,3.840776,2.245309,34.36585,2.711378,22.45355,2.671604
299536681567021056,146.28301,0.064056069,0.0215799,136.375,2.585506,28.29921,2.410678,28.87652,2.287023,38.69307,1.757945,2.880808,1.550484,28.03231,2.146651,22.25997,1.8375
299537781078648832,145.97523,0.10664574,0.1254106,22.21403,3.005971,12.1213,2.929286,12.38815,2.792835,15.71083,2.405657,2.779342,1.925214,6.505897,2.272689,5.881159,2.285192
299538055956555776,146.16563,-0.064166288,0.0632066,78.06777,4.780887,22.74333,3.988343,39.65755,4.741744,49.33593,4.546391,13.9685,3.870571,29.93122,4.204367,21.79713,4.193015
299538605712369664,145.98758,-0.34255457,0.1261984,148.5609,3.029261,27.96321,2.228627,7.650269,2.186333,64.36655,2.372105,4.047796,1.664584,25.93062,2.058931,19.5424,1.942865
299538880590276608,145.99396,-0.13584762,0.0630479,59.09758,3.320358,15.02143,2.645438,18.65338,3.125456,44.0032,3.264544,6.086231,2.593532,25.43504,2.961174,18.6173,2.922845
299539705223997440,145.82519,0.043159343,0.1451134,81.11268,4.803971,11.05687,3.900349,10.87778,4.035142,50.72423,4.030605,2.819487,3.004723,16.21682,3.733694,13.46391,4.361495
299540254979811328,145.89112,-0.46704537,0.2031962,69.34895,2.330877,19.72272,1.889748,5.917033,1.607339,29.63193,2.932793,2.605041,1.337226,11.03379,1.793429,6.995425,1.817993
299541354491439104,145.8774,-0.050187511,0.09099656,168.7761,2.980114,37.64988,2.335013,15.99098,2.814936,66.1244,2.316749,7.836175,1.92796,36.86018,2.588992,22.56966,3.07189
299542179125159936,145.86533,0.089624319,0.1277906,15.67791,3.260595,4.416514,2.640807,16.16085,3.750621,25.33151,3.496713,0.5066828,2.694075,2.431978,3.363377,4.87339,3.502322
299542454003066880,145.83689,0.0028933788,0.1294907,31.01813,2.952984,6.398813,2.658428,10.52765,3.01728,31.05795,3.041007,8.321172,2.266075,14.74209,2.828274,11.24108,5.988342
299544103270508544,145.82273,-0.16028957,0.06265516,473.5915,4.960597,119.7019,3.138772,38.83449,2.581303,144.3199,2.701742,9.701359,1.644407,92.08565,2.380618,60.78732,2.165136
299545202782136320,145.63394,-1.0506031,0.1432976,107.7912,4.334103,15.58205,3.506821,92.74484,4.292727,90.28859,4.257288,16.57689,2.923744,39.80347,3.44533,25.18388,3.580997
299546027415857152,145.61886,-0.97268613,0.1527078,187.4059,4.259487,38.16251,3.075337,11.28054,3.707457,81.89528,3.704299,2.367787,2.519958,33.48196,3.201761,20.593,3.61829
299546852049577984,145.59655,-1.2053233,0.1473114,1584.278,12.58163,472.8501,31.42236,1647.43,13.33863,230.83,3.172207,18.41255,1.902544,109.4629,2.981187,92.22054,3.315686
299547676683298816,145.5822,-0.89274307,0.0983509,26.48458,2.756943,9.160406,2.594259,11.58125,2.555244,13.66166,2.287516,2.376201,2.243671,13.74704,2.487952,10.75471,2.583868
299548226439112704,145.64525,-0.81551887,0.14551,25.24624,3.565542,5.069824,2.850775,11.54423,3.501196,26.24615,3.441865,0.168093,2.644874,7.320552,3.3122,7.41311,4.840874
299548501317019648,145.64788,-0.77176336,0.02165231,110.7399,2.381031,33.48423,2.171841,20.9408,2.098912,25.88362,1.644201,8.596091,1.609406,36.06995,2.376687,24.54501,1.880512
299548776194926592,145.75973,-0.81389214,0.06763429,472.3678,7.710236,122.3304,5.087923,966.6317,9.964752,547.7561,7.527822,82.45869,5.171806,227.8403,6.387924,183.8424,6.271238
299549051072833536,145.70894,-0.74767797,0.07156569,2.831536,1.748913,4.446222,1.978644,8.338769,3.707115,4.806256,3.541762,10.15141,3.268954,2.675015,4.073481,0.711512,3.888364
299549600828647424,145.78109,-0.60534054,0.1425823,18.20489,2.217804,7.40468,2.233017,4.154623,1.741027,8.230973,1.954878,4.994749,1.630146,4.530837,1.52743,0.02818416,1.482076
299550150584461312,145.74475,-0.076351718,0.06259136,724.7258,6.389958,194.5769,3.490486,107.4063,3.052692,229.4589,3.151566,16.17338,1.704929,119.1277,2.516377,90.24107,2.363436
299550700340275200,145.6012,-0.001388682,0.1458226,850.1395,7.674769,109.6307,4.157013,130.8339,4.614863,427.1596,4.936272,66.43319,2.963619,202.7181,4.607629,165.0395,7.20747
299551524973996032,145.66949,0.11167288,0.1247047,12.13992,3.395789,10.45877,3.519703,1.093986,1.800611,4.444735,1.898365,1.183067,1.472726,2.000359,1.619496,5.71708,2.094159
299552349607716864,145.68939,-0.011335705,0.09768173,270.9315,3.600594,57.52115,2.602858,25.31132,2.533188,88.04391,2.432146,6.83234,1.879457,51.00497,2.760743,35.24282,2.330391
299552624485623808,145.70269,-0.048527481,0.09832241,486.8309,5.050817,103.9028,2.861259,27.63784,2.452554,155.741,2.850807,9.307892,1.937325,77.38689,2.561965,56.07576,2.553865
299552899363530752,145.59828,-0.20219947,0.09113582,271.3318,3.668319,53.21636,2.488219,9.987125,2.745532,96.59939,2.634372,8.76641,1.979338,41.75854,2.708598,27.16348,2.80618
299553174241437696,145.64341,-0.3001479,0.1254306,141.8279,2.550789,36.50489,2.028913,60.51614,2.64468,19.75354,1.54015,5.808751,1.225765,27.45204,1.703619,16.09504,1.820562
299554273753065472,145.72206,-0.52713707,0.1640542,10.716,3.596822,2.897389,2.604983,9.796677,3.298242,10.37637,2.977828,3.593234,3.105135,5.888568,5.134325,3.24416,2.952663
299554548630972416,145.77842,-0.13455067,0.1451567,23.02035,3.067127,4.407211,2.729818,4.284774,2.567733,18.259,2.489979,1.578426,1.971714,3.07736,2.335543,4.311391,2.559916
299555098386786304,145.80121,-0.21112851,0.1448559,55.67607,2.728361,4.775193,2.332973,8.636382,2.531322,32.9475,2.535836,4.152347,1.942682,15.98153,2.424459,12.37474,2.772376
299555373264693248,145.66918,-0.42102498,0.03036259,57.26432,1.778416,17.53957,1.908911,23.40424,2.139449,5.879836,1.244413,5.87573,1.355745,14.30115,1.67449,10.91127,1.373432
299556197898414080,145.48725,-0.80693196,0.06084378,50.40124,3.929057,7.960468,3.12017,46.55729,4.07418,85.31347,4.377158,12.86561,3.267872,25.58306,3.606296,19.20558,3.601884
299556747654227968,145.38815,-0.69227045,0.1467894,8.576236,2.175325,179.4416,104.6923,15.48387,4.088394,31.17277,3.674217,2.794317,2.991036,14.88904,3.710697,8.556664,4.757908
299557297410041856,145.37115,-1.0810148,0.09888671,222.7212,3.230571,49.36584,2.493793,24.30521,2.295768,80.86584,2.636434,6.69829,2.149227,41.83834,2.245335,31.73342,2.322683
299557572287948800,145.44408,-1.1954565,0.08816301,22.91956,2.611053,2.674402,2.519196,15.48654,3.214375,20.17333,2.93766,3.274836,2.546956,9.860617,3.251084,3.828683,3.23209
299559221555390464,145.39427,-0.55765535,0.1259125,655.6909,6.363143,157.7448,3.424962,80.88867,3.19178,313.3217,4.129543,20.6252,2.119265,110.6196,3.058541,83.91689,2.814729
299559771311204352,145.55749,-0.69320463,0.2177645,18.24633,5.016725,3.505216,2.906467,3.53211,2.307508,14.962,3.613512,1.248133,2.469599,1.631121,3.109467,2.644706,3.44668
299560046189111296,145.47929,-1.0534252,0.08842166,19.41698,5.500491,0.1186266,5.888361,12.06176,3.176651,10.18346,2.889858,5.432991,2.64656,4.994998,3.218691,2.353296,3.1651
299560321067018240,145.49628,-0.73679163,0.1467638,43.07973,4.030419,7.054588,11.02869,7.558483,3.186769,40.79873,3.091419,2.749952,2.385056,16.87662,2.932746,8.640736,3.979218
299561145700739072,145.41306,0.10646309,0.1213054,76.72754,2.853569,15.05008,2.083189,11.40468,2.338938,49.96394,2.473663,4.733376,1.746708,23.09291,2.4119,15.77321,2.001941
299561420578646016,145.44666,0.077354713,0.1224656,204.6532,3.897421,34.08398,2.410317,5.229819,2.193846,89.17348,2.479434,3.137749,1.543143,27.29552,1.918546,22.57673,1.899858
299562245212366848,145.39106,-0.41559587,0.03587863,150.1607,2.613316,33.75164,2.055372,17.00939,2.137769,54.15761,1.884659,5.204991,1.534829,39.06112,1.85391,27.54781,1.833939
299562520090273792,145.42694,0.049536734,0.09087794,46.67517,5.86602,20.88988,4.665313,14.86208,4.340799,25.00797,4.459342,1.358942,3.499553,20.56075,4.289353,15.06206,4.600229
299563069846087680,145.40681,-0.31439655,0.1468838,3.754985,1.62716,10.71552,29.77131,3.793519,2.733551,13.32168,2.597672,1.695203,2.080333,2.273017,2.394367,2.519525,3.560453
299563894479808512,145.44549,-0.12267788,0.09053612,17.71206,3.140582,4.732705,2.90678,5.519151,3.925012,8.59267,3.180751,2.602135,3.727072,11.34111,4.454053,1.041418,3.923245
299564169357715456,145.39609,-0.091230941,0.09001952,176.6181,4.049601,32.73176,3.153452,15.87008,3.80929,95.93489,3.636279,10.83336,3.370205,34.1601,3.759424,27.52038,3.850437
299564719113529344,145.51629,-0.51919387,0.1267641,3.345031,1.454097,2.102267,1.576975,1.724942,1.948988,7.383801,1.774753,0.7024235,1.515296,3.173291,1.755987,4.259064,1.857447
299565543747250176,145.45408,0.039078341,0.1814355,80.32958,6.036097,16.52235,1.897669,5.866862,1.95273,27.65116,2.215316,0.1941082,1.352637,13.41823,2.0091,5.251546,1.832978
299565818625157120,145.51958,-0.2775546,0.09826267,210.204,3.037643,52.01683,2.339695,34.71779,2.353605,61.65749,2.018251,7.241577,1.646491,41.65935,2.030114,34.42803,2.132292
299567467892598784,145.27784,-0.73313608,0.1476748,12.62898,2.557574,232.387,109.4599,5.83923,2.520978,10.89248,2.244848,0.2010851,1.925947,4.124158,2.553149,8.809288,2.669348
299567742770505728,145.35048,-1.0805558,0.07141443,109.4993,2.945569,33.09707,2.57707,22.76943,2.841714,52.34507,2.657699,8.414385,2.033318,32.14695,2.391061,18.09337,2.325467
299568292526319616,145.25691,-1.1018864,0.06655016,135.2554,3.174304,26.17351,2.75586,8.464056,2.750147,54.02604,2.485595,1.450026,1.780226,22.13944,2.2262,16.18207,2.117071
299568842282133504,145.35144,-1.2385576,0.09067135,90.53979,2.001498,17.68659,2.07673,12.1156,2.548909,28.62536,1.578743,0.2280034,1.451453,21.83678,1.836019,26.1026,5.720582
299569117160040448,145.1963,-0.87997986,0.118615,133.9965,4.148329,32.09054,2.476033,28.0456,2.704547,68.26641,3.145915,12.11208,2.185858,33.76559,2.457916,26.44269,2.74484
299569392037947392,145.36211,-0.71402013,0.1315616,179.5962,2.84467,50.89903,2.28608,15.69489,2.10017,58.15033,1.837542,5.584886,1.365864,32.69051,4.41101,28.50644,2.335603
299570491549575168,145.16039,-0.6554685,0.1504413,237.9509,3.815569,51.20065,2.891897,16.05515,3.050462,85.18291,3.198829,10.96476,2.886904,33.83809,2.949441,21.1949,2.598648
299570766427482112,145.22485,-0.54802267,0.1296703,51.08707,3.001755,8.810951,2.614422,5.676888,2.96429,55.71833,3.192946,2.5076,2.174885,19.09328,2.856386,13.88175,5.997548
299572415694923776,145.3206,-0.25286139,0.05195406,390.5861,4.782414,100.7561,3.012126,25.6267,2.540199,151.7201,3.259198,12.69689,2.003668,78.33469,2.667643,57.55163,2.494081
299573790084458496,145.32998,0.043081214,0.1204287,98.95401,2.843163,21.9003,2.012377,6.154003,2.114029,38.41905,2.307084,5.244273,1.68163,19.43309,2.717691,5.861248,1.81254
299575164473993216,145.21905,-0.18615382,0.1235886,13.89163,3.831012,6.178319,3.562716,15.05109,6.325566,15.27542,5.802335,3.060909,4.799311,3.013376,6.884381,6.056537,7.228285
299576813741434880,145.2754,-0.47347782,0.1482937,127.7553,3.123969,24.91961,3.866444,38.00034,3.016786,46.22643,2.578492,1.411538,2.227622,39.98631,11.67102,19.39283,2.548103
299577088619341824,145.16739,-0.4823431,0.06237372,118.0372,2.249772,35.12086,1.940183,21.07775,2.098637,32.00217,1.619299,3.509773,1.254219,27.58826,1.513121,21.45177,1.497601
299578188130969600,145.54119,0.79539687,0.09888644,232.5851,3.154212,65.53061,2.818776,26.8483,2.318933,75.80746,2.315226,5.573064,1.993074,43.64564,1.977203,29.21039,2.044902
299578463008876544,145.19872,0.93266524,0.06147218,316.7157,3.869589,100.3149,3.023209,136.573,3.498331,50.85091,1.911729,10.48476,1.551475,68.23723,2.106982,43.28254,1.985583
299579562520504320,145.35216,1.113849,0.1675548,136.9447,4.204568,32.28375,3.382361,8.428411,5.040638,70.65503,3.905349,7.368085,3.453976,23.94457,3.898712,12.37728,4.46391
299580387154225152,145.22993,0.76255666,0.04707855,41.8506,5.308813,9.801526,4.40528,12.05603,4.744129,45.12023,5.017644,14.39063,4.268548,20.88036,4.268299,7.261943,4.242651
299580936910039040,145.44311,0.82657169,0.0512595,91.13182,3.794138,12.05139,2.754246,17.95284,3.094208,48.99981,3.452163,5.742302,2.770128,32.99469,3.188343,23.71851,3.089373
299581211787945984,145.34769,1.0774531,0.08884182,403.3705,4.359007,103.2128,3.061851,59.81681,2.790186,97.73875,2.382014,12.23107,1.925657,81.45023,3.264581,66.66057,2.984455
299581486665852928,145.20053,0.87098003,0.1515787,34.81096,3.387524,8.443042,3.057139,6.639428,4.135471,42.54916,3.812003,6.446761,3.345069,21.82709,3.517867,20.50936,6.199604
299582036421666816,145.26325,0.99193054,0.05720619,180.8174,3.342798,41.71413,2.539734,15.20661,2.510475,65.8357,2.419622,9.161416,1.823438,30.63698,2.020988,24.20495,1.987668
299582311299573760,145.32091,0.77109766,0.00658949,342.8454,4.706007,102.3102,3.558984,111.5933,3.608043,39.23271,1.973578,13.74571,1.934368,68.67606,2.383982,46.67073,2.170302
299583135933294592,145.34123,0.54730699,0.09790488,174.8124,3.792407,33.71523,2.95185,18.5977,2.937178,72.38217,3.110757,8.882089,2.339993,36.02143,3.095918,19.18493,2.908165
